network_code,station_code,location_code,chanel_code,longitude,latitude,elevation,x,y,z
8R,V0509,,JDD,8.476450,46.510649,1415.819791,-70.627,-35.838,-69.560
8R,V0807,,JDD,8.476185,46.510617,1369.170083,-90.957,-39.659,-116.210
8R,V0303,,JDD,8.475810,46.510408,1401.825974,-119.436,-63.368,-83.554
8R,V0403,,JDD,8.475671,46.510075,1322.962510,-129.612,-100.482,-162.417
8R,V0414,,JDD,8.476395,46.510550,1398.835805,-74.712,-46.885,-86.544
8R,V0811,,JDD,8.476415,46.510802,1405.732250,-73.599,-18.942,-79.648
8R,V0307,,JDD,8.476155,46.510640,1422.179439,-93.298,-37.229,-63.201
8R,V0812,,JDD,8.476484,46.510854,1416.481563,-68.343,-13.077,-68.898
8R,V0703,,JDD,8.476530,46.510825,1458.997593,-64.787,-16.208,-26.382
8R,V0508,,JDD,8.476314,46.510557,1401.703681,-80.993,-46.200,-83.676
8R,V0306,,JDD,8.476048,46.510569,1415.898849,-101.410,-45.213,-69.481
8R,V0109,,JDD,8.475354,46.510304,1343.766900,-154.278,-75.295,-141.613
8R,V0704,,JDD,8.476912,46.510910,1472.187971,-35.580,-6.414,-13.192
8R,V0809,,JDD,8.476283,46.510698,1384.961394,-83.513,-30.643,-100.419
8R,V0505,,JDD,8.476101,46.510418,1379.622804,-97.084,-61.874,-105.757
8R,V0510,,JDD,8.476582,46.510736,1429.110642,-60.689,-26.084,-56.269
8R,V0409,,JDD,8.476074,46.510340,1364.973979,-99.049,-70.650,-120.406
8R,V0117,,JDD,8.475947,46.510667,1394.053397,-109.254,-34.343,-91.327
8R,V0506,,JDD,8.476233,46.510505,1393.378688,-87.126,-52.104,-92.001
8R,V0309,,JDD,8.476376,46.510782,1435.994505,-76.537,-21.200,-49.385
8R,V0402,,JDD,8.475582,46.510019,1314.009370,-136.361,-106.841,-171.371
8R,V0808,,JDD,8.476233,46.510657,1376.825904,-87.349,-35.236,-108.554
8R,V0802,,JDD,8.475783,46.510256,1303.667638,-121.285,-80.238,-181.712
8R,V0407,,JDD,8.475913,46.510233,1348.173509,-111.283,-82.652,-137.206
8R,V0308,,JDD,8.476259,46.510707,1428.505384,-85.366,-29.591,-56.875
8R,V0502,,JDD,8.475730,46.510171,1340.242488,-125.238,-89.696,-145.138
8R,V0310,,JDD,8.476489,46.510853,1443.767224,-67.977,-13.132,-41.613
8R,V0102,,JDD,8.474695,46.509915,1292.983432,-204.288,-119.246,-192.397
8R,V0702,,JDD,8.476226,46.510763,1448.631090,-88.040,-23.468,-36.749
8R,V0805,,JDD,8.476095,46.510541,1354.745462,-97.703,-48.262,-130.635
8R,V0408,,JDD,8.475993,46.510286,1356.578269,-105.157,-76.667,-128.802
8R,V0504,,JDD,8.475994,46.510348,1368.346129,-105.174,-69.836,-117.034
8R,V0410,,JDD,8.476154,46.510393,1373.406364,-92.968,-64.657,-111.974
8R,V0305,,JDD,8.475926,46.510486,1408.586405,-110.647,-54.497,-76.794
8R,V0302,,JDD,8.475755,46.510370,1398.666825,-123.546,-67.611,-86.713
8R,V0104,,JDD,8.474908,46.510039,1308.825761,-188.108,-105.234,-176.554
8R,V0810,,JDD,8.476342,46.510745,1394.371682,-79.077,-25.334,-91.008
8R,V0412,,JN1,8.476236,46.510447,1381.935568,-86.811,-58.559,-103.444
8R,V0412,,JN2,8.476236,46.510447,1381.935568,-86.811,-58.559,-103.444
8R,V0412,,JN3,8.476236,46.510447,1381.935568,-86.811,-58.559,-103.444
8R,V0417,,JN1,8.476556,46.510653,1416.073858,-62.515,-35.272,-69.306
8R,V0417,,JN2,8.476556,46.510653,1416.073858,-62.515,-35.272,-69.306
8R,V0417,,JN3,8.476556,46.510653,1416.073858,-62.515,-35.272,-69.306
8R,V0105,,JN1,8.474910,46.510040,1308.957861,-187.975,-105.118,-176.422
8R,V0105,,JN2,8.474910,46.510040,1308.957861,-187.975,-105.118,-176.422
8R,V0105,,JN3,8.474910,46.510040,1308.957861,-187.975,-105.118,-176.422
8R,V0404,,JN1,8.475671,46.510075,1323.032280,-129.560,-100.432,-162.348
8R,V0404,,JN2,8.475671,46.510075,1323.032280,-129.560,-100.432,-162.348
8R,V0404,,JN3,8.475671,46.510075,1323.032280,-129.560,-100.432,-162.348
8R,V0304,,JN1,8.475812,46.510409,1401.946557,-119.278,-63.207,-83.433
8R,V0304,,JN2,8.475812,46.510409,1401.946557,-119.278,-63.207,-83.433
8R,V0304,,JN3,8.475812,46.510409,1401.946557,-119.278,-63.207,-83.433
